Site Name:,Snake Range East Salt Desert Shrub
Deployment:,Wind velocity monitor
Monitored System:,Atmosphere
Measured Property:,Wind speed
Vertical Offset from Surface:,10m height
Units:,m/s
Measurement Type:,Average
Measurement interval:,0:10:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),
1/1/2013 0:00,0.8113776
1/1/2013 0:10,1.7613376
1/1/2013 0:20,1.81364128
1/1/2013 0:30,1.855216
1/1/2013 0:40,2.34114848
1/1/2013 0:50,2.09840576
1/1/2013 1:00,2.05101952
1/1/2013 1:10,2.35187744
1/1/2013 1:20,2.60132576
1/1/2013 1:30,2.80338784
1/1/2013 1:40,3.31122528
1/1/2013 1:50,3.933952
1/1/2013 2:00,3.6120832
1/1/2013 2:10,3.38945728
1/1/2013 2:20,3.5807904
1/1/2013 2:30,3.46187776
1/1/2013 2:40,3.0756352
1/1/2013 2:50,2.63038336
1/1/2013 3:00,3.39705696
1/1/2013 3:10,3.7730176
1/1/2013 3:20,3.13687968
1/1/2013 3:30,2.58657344
1/1/2013 3:40,3.00053248
1/1/2013 3:50,3.13464448
1/1/2013 4:00,2.8632912
1/1/2013 4:10,2.447544
1/1/2013 4:20,2.18736672
1/1/2013 4:30,1.86013344
1/1/2013 4:40,2.24101152
1/1/2013 4:50,2.06711296
1/1/2013 5:00,2.87580832
1/1/2013 5:10,2.97594528
1/1/2013 5:20,2.52175264
1/1/2013 5:30,1.94998848
1/1/2013 5:40,1.56553408
1/1/2013 5:50,1.68578784
1/1/2013 6:00,1.48327872
1/1/2013 6:10,1.57939232
1/1/2013 6:20,1.61426144
1/1/2013 6:30,2.69520416
1/1/2013 6:40,2.64066528
1/1/2013 6:50,2.98578016
1/1/2013 7:00,3.1985712
1/1/2013 7:10,2.25174048
1/1/2013 7:20,2.11092288
1/1/2013 7:30,1.59056832
1/1/2013 7:40,1.13369344
1/1/2013 7:50,1.44528032
1/1/2013 8:00,1.22846592
1/1/2013 8:10,1.09033056
1/1/2013 8:20,1.29686304
1/1/2013 8:30,1.71797472
1/1/2013 8:40,1.90930784
1/1/2013 8:50,1.94864736
1/1/2013 9:00,2.1592032
1/1/2013 9:10,2.12701632
1/1/2013 9:20,2.49045984
1/1/2013 9:30,3.06356512
1/1/2013 9:40,3.03227232
1/1/2013 9:50,3.11765696
1/1/2013 10:00,3.889248
1/1/2013 10:10,4.35864
1/1/2013 10:20,4.4838112
1/1/2013 10:30,4.3541696
1/1/2013 10:40,4.336288
1/1/2013 10:50,3.710432
1/1/2013 11:00,3.56827328
1/1/2013 11:10,3.09262272
1/1/2013 11:20,2.0988528
1/1/2013 11:30,1.86773312
1/1/2013 11:40,1.16811552
1/1/2013 11:50,0.81182464
1/1/2013 12:00,0.74610976
1/1/2013 12:10,0.9320784
1/1/2013 12:20,1.20745504
1/1/2013 12:30,1.06440224
1/1/2013 12:40,1.15023392
1/1/2013 12:50,1.01880416
1/1/2013 13:00,1.04696768
1/1/2013 13:10,0.9566656
1/1/2013 13:20,0.42155872
1/1/2013 13:30,0.39384224
1/1/2013 13:40,0.52795424
1/1/2013 13:50,0.69782944
1/1/2013 14:00,0.30085792
1/1/2013 14:10,0.7644384
1/1/2013 14:20,0.7845552
1/1/2013 14:30,1.62454336
1/1/2013 14:40,2.31924352
1/1/2013 14:50,2.34651296
1/1/2013 15:00,2.55528064
1/1/2013 15:10,2.63932416
1/1/2013 15:20,2.65586464
1/1/2013 15:30,2.15294464
1/1/2013 15:40,2.61428992
1/1/2013 15:50,2.26828096
1/1/2013 16:00,1.76312576
1/1/2013 16:10,1.55614624
1/1/2013 16:20,1.16409216
1/1/2013 16:30,1.1935968
1/1/2013 16:40,1.3679424
1/1/2013 16:50,2.10958176
1/1/2013 17:00,2.78863552
1/1/2013 17:10,2.11718144
1/1/2013 17:20,2.71085056
1/1/2013 17:30,2.1256752
1/1/2013 17:40,1.1243056
1/1/2013 17:50,0.79930752
1/1/2013 18:00,0.75415648
1/1/2013 18:10,0.94861888
1/1/2013 18:20,1.38761216
1/1/2013 18:30,1.5892272
1/1/2013 18:40,1.31787392
1/1/2013 18:50,0.56058816
1/1/2013 19:00,0.07465568
1/1/2013 19:10,0.65983104
1/1/2013 19:20,1.78503072
1/1/2013 19:30,1.84269888
1/1/2013 19:40,1.274064
1/1/2013 19:50,1.1533632
1/1/2013 20:00,0.93252544
1/1/2013 20:10,0.83551776
1/1/2013 20:20,1.37867136
1/1/2013 20:30,1.91422528
1/1/2013 20:40,1.70635168
1/1/2013 20:50,1.8350992
1/1/2013 21:00,2.33444288
1/1/2013 21:10,2.80875232
1/1/2013 21:20,3.43863168
1/1/2013 21:30,4.0054784
1/1/2013 21:40,3.9473632
1/1/2013 21:50,2.69520416
1/1/2013 22:00,1.62901376
1/1/2013 22:10,2.39524032
1/1/2013 22:20,1.60085024
1/1/2013 22:30,2.62367776
1/1/2013 22:40,2.44441472
1/1/2013 22:50,2.3179024
1/1/2013 23:00,2.03313792
1/1/2013 23:10,1.90126112
1/1/2013 23:20,2.0541488
1/1/2013 23:30,2.56019808
1/1/2013 23:40,2.21597728
1/1/2013 23:50,1.18599712
1/2/2013 0:00,1.08317792
1/2/2013 0:10,1.20209056
1/2/2013 0:20,1.05680256
1/2/2013 0:30,0.71794624
1/2/2013 0:40,1.21550176
