Site Name:,Snake Range West Montane
Deployment:,Wind velocity monitor
Monitored System:,Atmosphere
Measured Property:,Wind speed
Vertical Offset from Surface:,10m height
Units:,m/s
Measurement Type:,Average
Measurement interval:,0:10:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),
1/1/2013 0:00,0.47967392
1/1/2013 0:10,0.63345568
1/1/2013 0:20,0.44346368
1/1/2013 0:30,0.73716896
1/1/2013 0:40,0.17255744
1/1/2013 0:50,1.07557824
1/1/2013 1:00,1.03579168
1/1/2013 1:10,1.18376192
1/1/2013 1:20,1.36034272
1/1/2013 1:30,0.6906768
1/1/2013 1:40,0.91106752
1/1/2013 1:50,0.70989952
1/1/2013 2:00,0.56863488
1/1/2013 2:10,0.56058816
1/1/2013 2:20,1.04741472
1/1/2013 2:30,1.32681472
1/1/2013 2:40,1.64153088
1/1/2013 2:50,1.35274304
1/1/2013 3:00,1.15604544
1/1/2013 3:10,1.00271072
1/1/2013 3:20,0.90793824
1/1/2013 3:30,1.42248128
1/1/2013 3:40,1.32502656
1/1/2013 3:50,1.42561056
1/1/2013 4:00,0.91240864
1/1/2013 4:10,1.85208672
1/1/2013 4:20,2.7627072
1/1/2013 4:30,2.56645664
1/1/2013 4:40,2.75331936
1/1/2013 4:50,1.40728192
1/1/2013 5:00,0.72509888
1/1/2013 5:10,0.63882016
1/1/2013 5:20,1.02774496
1/1/2013 5:30,1.68891712
1/1/2013 5:40,1.63348416
1/1/2013 5:50,2.37422944
1/1/2013 6:00,3.6970208
1/1/2013 6:10,3.24461632
1/1/2013 6:20,1.1801856
1/1/2013 6:30,1.79844192
1/1/2013 6:40,0.85697568
1/1/2013 6:50,1.2986512
1/1/2013 7:00,1.58296864
1/1/2013 7:10,1.26825248
1/1/2013 7:20,1.00092256
1/1/2013 7:30,1.61649664
1/1/2013 7:40,1.77385472
1/1/2013 7:50,0.91330272
1/1/2013 8:00,1.49400768
1/1/2013 8:10,1.80782976
1/1/2013 8:20,1.06216704
1/1/2013 8:30,0.73135744
1/1/2013 8:40,0.7867904
1/1/2013 8:50,0.73806304
1/1/2013 9:00,1.15738656
1/1/2013 9:10,1.03757984
1/1/2013 9:20,1.77340768
1/1/2013 9:30,1.19538496
1/1/2013 9:40,0.51051968
1/1/2013 9:50,0.33438592
1/1/2013 10:00,0.51230784
1/1/2013 10:10,0.60439808
1/1/2013 10:20,0.91509088
1/1/2013 10:30,0.71258176
1/1/2013 10:40,0.82076544
1/1/2013 10:50,1.03802688
1/1/2013 11:00,0.91151456
1/1/2013 11:10,0.9633712
1/1/2013 11:20,1.15381024
1/1/2013 11:30,0.8314944
1/1/2013 11:40,0.81629504
1/1/2013 11:50,0.90167968
1/1/2013 12:00,0.9477248
1/1/2013 12:10,0.94861888
1/1/2013 12:20,0.76577952
1/1/2013 12:30,0.9857232
1/1/2013 12:40,0.74253344
1/1/2013 12:50,0.66698368
1/1/2013 13:00,0.88782144
1/1/2013 13:10,0.8337296
1/1/2013 13:20,1.03221536
1/1/2013 13:30,0.75594464
1/1/2013 13:40,0.76399136
1/1/2013 13:50,0.61512704
1/1/2013 14:00,0.64641984
1/1/2013 14:10,1.17973856
1/1/2013 14:20,0.67815968
1/1/2013 14:30,0.73493376
1/1/2013 14:40,1.04339136
1/1/2013 14:50,0.7644384
1/1/2013 15:00,0.80735424
1/1/2013 15:10,0.80422496
1/1/2013 15:20,0.85697568
1/1/2013 15:30,0.74968608
1/1/2013 15:40,0.8002016
1/1/2013 15:50,0.66877184
1/1/2013 16:00,0.94951296
1/1/2013 16:10,0.51141376
1/1/2013 16:20,1.10016544
1/1/2013 16:30,0.97633536
1/1/2013 16:40,0.61378592
1/1/2013 16:50,1.06574336
1/1/2013 17:00,1.14576352
1/1/2013 17:10,0.95621856
1/1/2013 17:20,1.0907776
1/1/2013 17:30,1.27048768
1/1/2013 17:40,1.41890496
1/1/2013 17:50,0.84579968
1/1/2013 18:00,1.36302496
1/1/2013 18:10,1.02640384
1/1/2013 18:20,1.22220736
1/1/2013 18:30,1.17616224
1/1/2013 18:40,1.37285984
1/1/2013 18:50,1.47478496
1/1/2013 19:00,1.50831296
1/1/2013 19:10,1.96965824
1/1/2013 19:20,2.18870784
1/1/2013 19:30,1.39342368
1/1/2013 19:40,1.15828064
1/1/2013 19:50,0.882904
1/1/2013 20:00,1.70188128
1/1/2013 20:10,1.43097504
1/1/2013 20:20,1.743456
1/1/2013 20:30,1.71573952
1/1/2013 20:40,1.75731424
1/1/2013 20:50,2.61876032
1/1/2013 21:00,2.97683936
1/1/2013 21:10,2.63127744
1/1/2013 21:20,2.01570336
1/1/2013 21:30,3.18516
1/1/2013 21:40,3.41896192
1/1/2013 21:50,1.30267456
1/1/2013 22:00,0.78321408
1/1/2013 22:10,0.882904
1/1/2013 22:20,0.44435776
1/1/2013 22:30,0.77472032
1/1/2013 22:40,1.40996416
1/1/2013 22:50,1.40504672
1/1/2013 23:00,1.62588448
1/1/2013 23:10,0.97544128
1/1/2013 23:20,1.55659328
1/1/2013 23:30,0.759968
1/1/2013 23:40,0.63792608
1/1/2013 23:50,1.16185696
1/2/2013 0:00,1.00852224
1/2/2013 0:10,0.36791392
1/2/2013 0:20,0.88245696
1/2/2013 0:30,1.0706608
1/2/2013 0:40,2.35903008
1/2/2013 0:50,1.83822848
